tsne1,tsne2,reciter
6.6419845,-6.890805,Bander_Balilah
6.6057897,-6.002477,Bander_Balilah
-6.7378163,-1.3888249,Bander_Balilah
-10.711611,0.42458826,Bander_Balilah
-8.239654,-2.1441581,Bander_Balilah
-5.8747244,-4.604106,Bander_Balilah
-10.365986,3.5126946,Bander_Balilah
3.4506307,11.364818,Bander_Balilah
-10.299471,0.15320937,Bander_Balilah
-10.419268,0.18854749,Bander_Balilah
6.50482,-5.016346,Bander_Balilah
11.700035,3.4964874,Nasser_Alqutami
4.1134076,-2.5108197,Nasser_Alqutami
4.708795,-0.34003884,Nasser_Alqutami
3.74923,-0.2584458,Nasser_Alqutami
4.0532527,-8.558886,Nasser_Alqutami
-5.126705,8.407541,Nasser_Alqutami
-9.2527275,4.24198,Nasser_Alqutami
3.8852637,-8.471053,Nasser_Alqutami
2.00697,8.0861,Nasser_Alqutami
11.535487,3.7741382,Nasser_Alqutami
11.5416,3.7485168,Nasser_Alqutami
11.398734,4.0365148,Nasser_Alqutami
3.8438206,-2.3834488,Nasser_Alqutami
11.49479,3.5904486,Nasser_Alqutami
2.730949,7.5232825,Nasser_Alqutami
-9.128463,4.424256,Nasser_Alqutami
-8.661141,4.3628507,Nasser_Alqutami
2.8638504,2.836373,Nasser_Alqutami
11.40165,4.038979,Nasser_Alqutami
4.1703806,-2.1337333,Nasser_Alqutami
11.544571,3.749025,Nasser_Alqutami
11.6868,3.4974022,Nasser_Alqutami
-7.9279904,4.2251725,Nasser_Alqutami
3.8651812,-8.452286,Nasser_Alqutami
3.97235,-2.4489229,Nasser_Alqutami
3.8586588,-2.4105086,Nasser_Alqutami
3.7248116,-2.3454363,Nasser_Alqutami
11.55693,3.7401893,Nasser_Alqutami
-5.105832,8.4197855,Nasser_Alqutami
-9.362576,4.447126,Nasser_Alqutami
2.834765,-0.5740798,Nasser_Alqutami
3.701104,-8.363352,Nasser_Alqutami
4.8829947,-0.5010143,Nasser_Alqutami
3.1842203,-0.4036972,Nasser_Alqutami
-4.281951,7.1828365,Nasser_Alqutami
3.7141466,-2.3301637,Nasser_Alqutami
2.3004434,8.189162,Nasser_Alqutami
2.7869203,7.4947376,Nasser_Alqutami
-4.325828,9.366144,Nasser_Alqutami
3.6938872,-2.269206,Nasser_Alqutami
3.8170907,-8.425792,Nasser_Alqutami
-4.821896,8.762518,Nasser_Alqutami
2.782372,2.762168,Nasser_Alqutami
5.8320312,10.385388,Nasser_Alqutami
-9.350442,4.03705,Nasser_Alqutami
4.030304,-8.54569,Nasser_Alqutami
3.8618267,-2.4048264,Nasser_Alqutami
-3.912549,9.448892,Nasser_Alqutami
4.0504036,-2.4904208,Nasser_Alqutami
11.625387,3.614544,Nasser_Alqutami
-7.798614,4.1746635,Nasser_Alqutami
3.802196,-2.371701,Nasser_Alqutami
11.483336,3.8653767,Nasser_Alqutami
-7.613104,3.846088,Nasser_Alqutami
-7.882321,4.1939807,Nasser_Alqutami
3.908625,-2.4132922,Nasser_Alqutami
3.778173,-2.3523085,Nasser_Alqutami
-9.257817,4.413584,Nasser_Alqutami
11.776256,3.3498697,Nasser_Alqutami
3.5703435,-2.23225,Nasser_Alqutami
11.267243,4.075554,Nasser_Alqutami
3.5711386,-2.2848794,Nasser_Alqutami
11.386306,4.0514207,Nasser_Alqutami
-8.981369,4.2992234,Nasser_Alqutami
4.124322,-8.526158,Nasser_Alqutami
11.49584,3.862541,Nasser_Alqutami
11.545815,3.7483726,Nasser_Alqutami
11.599473,3.6765728,Nasser_Alqutami
11.563194,3.7378032,Nasser_Alqutami
2.0475957,8.122919,Nasser_Alqutami
3.630948,-2.3110728,Nasser_Alqutami
-5.0028424,8.447468,Nasser_Alqutami
11.504575,3.8321178,Nasser_Alqutami
3.4536338,-2.2321746,Nasser_Alqutami
2.747534,7.4847527,Nasser_Alqutami
3.943086,-2.435791,Nasser_Alqutami
2.654994,9.456187,Nasser_Alqutami
4.004514,-2.4597757,Nasser_Alqutami
4.061556,-8.558977,Nasser_Alqutami
11.294903,4.231537,Nasser_Alqutami
3.9634953,-2.430102,Nasser_Alqutami
-7.56107,3.8356128,Nasser_Alqutami
11.727779,3.3909862,Nasser_Alqutami
4.061045,-2.4907947,Nasser_Alqutami
3.8188214,-0.269771,Nasser_Alqutami
-7.5337195,3.822387,Nasser_Alqutami
6.6084213,9.761496,Nasser_Alqutami
3.359068,-0.2999665,Nasser_Alqutami
-3.7476544,9.461859,Nasser_Alqutami
3.922792,-8.539131,Nasser_Alqutami
3.9175997,-0.26449847,Nasser_Alqutami
-7.5569763,3.7806616,Nasser_Alqutami
-7.806705,4.327923,Nasser_Alqutami
2.7029583,7.55339,Nasser_Alqutami
2.175501,8.121179,Nasser_Alqutami
6.577936,9.859003,Nasser_Alqutami
7.194905,9.3207,Nasser_Alqutami
11.474568,3.8765464,Nasser_Alqutami
-7.4095845,3.643601,Nasser_Alqutami
11.553699,3.7541842,Nasser_Alqutami
-8.007408,4.2172003,Nasser_Alqutami
11.554276,3.7548509,Nasser_Alqutami
3.706721,-2.324604,Nasser_Alqutami
5.9898777,10.281136,Nasser_Alqutami
2.075989,8.103115,Nasser_Alqutami
3.8744,-8.470669,Nasser_Alqutami
3.6588242,-2.2961714,Nasser_Alqutami
2.133389,8.128772,Nasser_Alqutami
11.502368,3.7496758,Nasser_Alqutami
11.5601,3.7115598,Nasser_Alqutami
-7.663383,3.9827228,Nasser_Alqutami
2.617624,9.723612,Nasser_Alqutami
6.7330575,9.694217,Nasser_Alqutami
2.1951823,8.076796,Nasser_Alqutami
3.9608426,-8.538928,Nasser_Alqutami
11.448044,3.790696,Nasser_Alqutami
1.9623563,8.121448,Nasser_Alqutami
2.0727806,8.130788,Nasser_Alqutami
-3.431445,9.331769,Nasser_Alqutami
3.477959,-2.2263296,Nasser_Alqutami
5.8957276,9.936421,Nasser_Alqutami
7.0414276,9.433749,Nasser_Alqutami
4.108483,-2.4976573,Nasser_Alqutami
2.1035247,8.135635,Nasser_Alqutami
-8.994437,4.277698,Nasser_Alqutami
1.9844766,8.096883,Nasser_Alqutami
-4.1711864,9.406862,Nasser_Alqutami
-3.5008273,9.356577,Nasser_Alqutami
11.29508,4.169005,Nasser_Alqutami
2.3921058,-0.4532086,Nasser_Alqutami
3.6658785,-8.310239,Nasser_Alqutami
4.072914,-2.4477282,Nasser_Alqutami
1.9497639,8.083622,Nasser_Alqutami
3.9701416,-2.4384584,Nasser_Alqutami
3.798769,-8.435893,Nasser_Alqutami
-8.13162,4.3291,Nasser_Alqutami
6.9852967,9.478984,Nasser_Alqutami
5.7502084,10.218592,Nasser_Alqutami
3.6665626,-2.2527244,Nasser_Alqutami
-5.4604845,7.966658,Nasser_Alqutami
-5.42469,8.12354,Nasser_Alqutami
6.385623,10.000559,Nasser_Alqutami
6.9843693,9.499219,Nasser_Alqutami
2.2283103,7.8991237,Nasser_Alqutami
-4.538851,8.882295,Nasser_Alqutami
11.619266,3.581144,Nasser_Alqutami
3.732807,-0.26160958,Nasser_Alqutami
3.5378602,-2.3002286,Nasser_Alqutami
6.673111,9.758202,Nasser_Alqutami
-8.0336685,4.2916164,Nasser_Alqutami
3.8707685,-0.22577465,Nasser_Alqutami
11.505749,3.783372,Nasser_Alqutami
6.5860586,9.811094,Nasser_Alqutami
11.351195,4.122477,Nasser_Alqutami
6.084757,9.887732,Nasser_Alqutami
2.7174325,-0.5506124,Nasser_Alqutami
3.856736,-2.3719451,Nasser_Alqutami
-5.253746,8.352987,Nasser_Alqutami
4.0335317,-2.463995,Nasser_Alqutami
3.3921008,-0.2740858,Nasser_Alqutami
3.6934674,-2.3342376,Nasser_Alqutami
-4.6267896,9.264052,Nasser_Alqutami
